event,Range,RangeRate,Speed,LaneDistanceLeft,LaneDistanceRight,Crossing,End of event,Along_s,Alat_s,Driving style
4,28.75,-3.375,33.28889,-2.972656,0.2421875,0,1,-0.210730800653595,0.238388888888889,1
7,98.6875,-2.0625,31.93333,-1.4375,1.691406,0,0,0.0307777777777779,-0.583180964052288,1
7,98.3125,-2.25,31.94722,-1.386719,1.722656,0,0,-0.0801325863678805,-0.589581524276377,1
7,98.125,-2.375,31.91111,-1.332031,1.761719,0,0,-0.146746462687639,-0.594135230374201,1
7,97.75,-2.375,31.88333,-1.296875,1.796875,0,0,-0.177924459527401,-0.596177646699706,1
7,96.875,-2.625,31.91111,-1.222656,1.9375,0,0,-0.182527185233068,-0.595044337606838,1
7,96.75,-2.75,31.86945,-1.15625,1.96875,0,0,-0.169415248150542,-0.590070867449544,1
7,96.125,-2.8125,31.875,-1.167969,2.019531,0,0,-0.147449256625727,-0.580592800581771,1
7,95.875,-2.875,31.90278,-1.144531,2.054688,0,0,-0.125489819004525,-0.565945701357466,1
7,95.6875,-2.875,31.86111,-1.109375,2.085938,0,0,-0.155934389140272,-0.525868778280543,1
7,95.4375,-2.875,31.86945,-1.078125,2.109375,0,0,-0.205097285067873,-0.509388009049774,1
7,94.875,-2.9375,31.85278,-0.9921875,2.183594,0,0,-0.222256787330317,-0.455307692307693,1
7,94.875,-2.875,31.83889,-0.9414063,2.21875,0,0,-0.290524886877828,-0.422869909502263,1
7,94.75,-2.8125,31.90278,-0.9023438,2.257813,0,0,-0.341299773755656,-0.401065610859729,1
7,94.375,-2.8125,31.85278,-0.8085938,2.332031,0,0,-0.354240950226245,-0.372418552036199,1
7,94.3125,-2.875,31.89722,-0.7421875,2.375,0,0,-0.447654977375566,-0.413014705882353,1
7,93.9375,-2.75,31.925,-0.6640625,2.410156,0,0,-0.454257918552036,-0.430731900452489,1
7,93.875,-2.6875,31.96111,-0.5898438,2.449219,0,0,-0.507233031674208,-0.432571266968326,1
7,93.5625,-2.6875,31.975,-0.4921875,2.535156,0,0,-0.495092760180996,-0.485971719457014,1
7,93.375,-2.6875,31.98889,-0.4414063,2.582031,0,0,-0.427505656108598,-0.495031674208145,1
7,93.25,-2.8125,31.96111,-0.3984375,2.636719,0,0,-0.490524886877828,-0.498537330316742,1
7,92.6875,-2.9375,32.01667,-0.3203125,2.726563,0,0,-0.444876696832579,-0.492391402714932,1
7,92.4375,-2.875,32.01667,-0.2851563,2.769531,0,0,-0.474486425339367,-0.447649321266968,1
7,92.0625,-2.875,32.09167,-0.1875,2.863281,0,0,-0.513178733031674,-0.426158371040724,1
7,91.6875,-2.875,32.14167,-0.1171875,2.925781,0,0,-0.481348416289593,-0.390269230769231,1
7,91.0625,-3.125,32.14167,0.015625,3.042969,0,0,-0.531042380413704,-0.341757797349709,1
7,90.75,-3.3125,32.17778,0.1132813,3.109375,0,0,-0.591045881814264,-0.278497387416505,1
7,90.5,-3.25,32.25,-3.191406,0.09765625,1,0,-0.658411145227322,-0.197919656324068,1
7,90.25,-3.375,32.22778,-3.144531,0.140625,0,0,-0.730190395388925,-0.0974562594268477,1
